A_code,B_code,A/b,B/a,A*B
CA02-07 (N=212),WEAK20-23 (N=271),48,107,164
CA02-07 (N=212),NS21-34 (N=271),48,107,164
CA02-07 (N=212),KA94-01 (N=277),42,107,170
FACLUST07-20 (N=59),KA94-01 (N=277),42,260,17
FACLUST07-20 (N=59),WEAK20-23 (N=271),48,260,11
FACLUST07-20 (N=59),NS21-34 (N=271),48,260,11
KA94-02 (N=17),WEAK20-23 (N=271),6,260,11
KA94-02 (N=17),NS21-34 (N=271),6,260,11
KA94-01 (N=277),CA02-06 (N=319),0,42,277
KA94-01 (N=277),WEAK20-23 (N=271),6,0,271
KA94-01 (N=277),NS21-34 (N=271),6,0,271
CA02-06 (N=319),WEAK20-23 (N=271),48,0,271
CA02-06 (N=319),NS21-34 (N=271),48,0,271
WEAK20-23 (N=271),NS21-34 (N=271),0,0,271
CA02-07 (N=212),CA02-06 (N=319),0,107,212
KA94-03 (N=153),CA02-07 (N=212),0,59,153
KA94-03 (N=153),FACLUST07-19 (N=153),0,0,153
KA94-03 (N=153),NS21-36 (N=153),0,0,153
KA94-03 (N=153),KA94-01 (N=277),0,124,153
KA94-03 (N=153),CA02-06 (N=319),0,166,153
KA94-03 (N=153),WEAK20-23 (N=271),0,118,153
KA94-03 (N=153),NS21-34 (N=271),0,118,153
CA02-07 (N=212),FACLUST07-19 (N=153),59,0,153
CA02-07 (N=212),NS21-36 (N=153),59,0,153
FACLUST07-19 (N=153),NS21-36 (N=153),0,0,153
FACLUST07-19 (N=153),KA94-01 (N=277),0,124,153
FACLUST07-19 (N=153),CA02-06 (N=319),0,166,153
FACLUST07-19 (N=153),WEAK20-23 (N=271),0,118,153
FACLUST07-19 (N=153),NS21-34 (N=271),0,118,153
NS21-36 (N=153),KA94-01 (N=277),0,124,153
NS21-36 (N=153),CA02-06 (N=319),0,166,153
NS21-36 (N=153),WEAK20-23 (N=271),0,118,153
NS21-36 (N=153),NS21-34 (N=271),0,118,153
KA94-03 (N=153),FA07-13 (N=115),38,0,115
KA94-03 (N=153),WEAK20-25 (N=115),38,0,115
CA02-07 (N=212),FA07-13 (N=115),97,0,115
CA02-07 (N=212),WEAK20-25 (N=115),97,0,115
FA07-13 (N=115),FACLUST07-19 (N=153),0,38,115
FA07-13 (N=115),WEAK20-25 (N=115),0,0,115
FA07-13 (N=115),NS21-36 (N=153),0,38,115
FA07-13 (N=115),KA94-01 (N=277),0,162,115
FA07-13 (N=115),CA02-06 (N=319),0,204,115
FA07-13 (N=115),WEAK20-23 (N=271),0,156,115
FA07-13 (N=115),NS21-34 (N=271),0,156,115
FACLUST07-19 (N=153),WEAK20-25 (N=115),38,0,115
WEAK20-25 (N=115),NS21-36 (N=153),0,38,115
WEAK20-25 (N=115),KA94-01 (N=277),0,162,115
WEAK20-25 (N=115),CA02-06 (N=319),0,204,115
WEAK20-25 (N=115),WEAK20-23 (N=271),0,156,115
WEAK20-25 (N=115),NS21-34 (N=271),0,156,115
KA94-04 (N=107),CA02-08 (N=107),0,0,107
KA94-04 (N=107),FACLUST07-21 (N=107),0,0,107
KA94-04 (N=107),KA94-01 (N=277),0,170,107
KA94-04 (N=107),CA02-06 (N=319),0,212,107
KA94-04 (N=107),WEAK20-23 (N=271),0,164,107
KA94-04 (N=107),NS21-34 (N=271),0,164,107
CA02-08 (N=107),FACLUST07-21 (N=107),0,0,107
CA02-08 (N=107),KA94-01 (N=277),0,170,107
CA02-08 (N=107),CA02-06 (N=319),0,212,107
CA02-08 (N=107),WEAK20-23 (N=271),0,164,107
CA02-08 (N=107),NS21-34 (N=271),0,164,107
FACLUST07-21 (N=107),KA94-01 (N=277),0,170,107
FACLUST07-21 (N=107),CA02-06 (N=319),0,212,107
FACLUST07-21 (N=107),WEAK20-23 (N=271),0,164,107
FACLUST07-21 (N=107),NS21-34 (N=271),0,164,107
KA94-04 (N=107),NS21-38 (N=99),8,0,99
CA02-08 (N=107),NS21-38 (N=99),8,0,99
FACLUST07-21 (N=107),NS21-38 (N=99),8,0,99
NS21-38 (N=99),KA94-01 (N=277),0,178,99
NS21-38 (N=99),CA02-06 (N=319),0,220,99
NS21-38 (N=99),WEAK20-23 (N=271),0,172,99
NS21-38 (N=99),NS21-34 (N=271),0,172,99
CA02-07 (N=212),FACLUST07-20 (N=59),153,0,59
FACLUST07-20 (N=59),CA02-06 (N=319),0,260,59
KA94-05 (N=42),CA02-07 (N=212),0,170,42
KA94-05 (N=42),FA07-17 (N=42),0,0,42
KA94-05 (N=42),FACLUST07-20 (N=59),0,17,42
KA94-05 (N=42),WEAK20-32 (N=42),0,0,42
KA94-05 (N=42),NS21-39 (N=42),0,0,42
KA94-05 (N=42),CA02-06 (N=319),0,277,42
CA02-07 (N=212),FA07-17 (N=42),170,0,42
CA02-07 (N=212),WEAK20-32 (N=42),170,0,42
CA02-07 (N=212),NS21-39 (N=42),170,0,42
FA07-17 (N=42),FACLUST07-20 (N=59),0,17,42
FA07-17 (N=42),WEAK20-32 (N=42),0,0,42
FA07-17 (N=42),NS21-39 (N=42),0,0,42
FA07-17 (N=42),CA02-06 (N=319),0,277,42
FACLUST07-20 (N=59),WEAK20-32 (N=42),17,0,42
FACLUST07-20 (N=59),NS21-39 (N=42),17,0,42
WEAK20-32 (N=42),NS21-39 (N=42),0,0,42
WEAK20-32 (N=42),CA02-06 (N=319),0,277,42
NS21-39 (N=42),CA02-06 (N=319),0,277,42
KA94-04 (N=107),FA07-14 (N=40),67,0,40
KA94-04 (N=107),WEAK20-31 (N=40),67,0,40
CA02-08 (N=107),FA07-14 (N=40),67,0,40
CA02-08 (N=107),WEAK20-31 (N=40),67,0,40
FA07-14 (N=40),FACLUST07-21 (N=107),0,67,40
FA07-14 (N=40),WEAK20-31 (N=40),0,0,40
FA07-14 (N=40),NS21-38 (N=99),0,59,40
FA07-14 (N=40),KA94-01 (N=277),0,237,40
FA07-14 (N=40),CA02-06 (N=319),0,279,40
FA07-14 (N=40),WEAK20-23 (N=271),0,231,40
FA07-14 (N=40),NS21-34 (N=271),0,231,40
FACLUST07-21 (N=107),WEAK20-31 (N=40),67,0,40
WEAK20-31 (N=40),NS21-38 (N=99),0,59,40
WEAK20-31 (N=40),KA94-01 (N=277),0,237,40
WEAK20-31 (N=40),CA02-06 (N=319),0,279,40
WEAK20-31 (N=40),WEAK20-23 (N=271),0,231,40
WEAK20-31 (N=40),NS21-34 (N=271),0,231,40
KA94-03 (N=153),FA07-09 (N=38),115,0,38
KA94-03 (N=153),WEAK20-28 (N=38),115,0,38
CA02-07 (N=212),FA07-09 (N=38),174,0,38
CA02-07 (N=212),WEAK20-28 (N=38),174,0,38
FA07-09 (N=38),FACLUST07-19 (N=153),0,115,38
FA07-09 (N=38),WEAK20-28 (N=38),0,0,38
FA07-09 (N=38),NS21-36 (N=153),0,115,38
FA07-09 (N=38),KA94-01 (N=277),0,239,38
FA07-09 (N=38),CA02-06 (N=319),0,281,38
FA07-09 (N=38),WEAK20-23 (N=271),0,233,38
FA07-09 (N=38),NS21-34 (N=271),0,233,38
FACLUST07-19 (N=153),WEAK20-28 (N=38),115,0,38
WEAK20-28 (N=38),NS21-36 (N=153),0,115,38
WEAK20-28 (N=38),KA94-01 (N=277),0,239,38
WEAK20-28 (N=38),CA02-06 (N=319),0,281,38
WEAK20-28 (N=38),WEAK20-23 (N=271),0,233,38
WEAK20-28 (N=38),NS21-34 (N=271),0,233,38
KA94-04 (N=107),FA07-18 (N=37),70,0,37
KA94-04 (N=107),WEAK20-27 (N=37),70,0,37
CA02-08 (N=107),FA07-18 (N=37),70,0,37
CA02-08 (N=107),WEAK20-27 (N=37),70,0,37
FA07-18 (N=37),FACLUST07-21 (N=107),0,70,37
FA07-18 (N=37),WEAK20-27 (N=37),0,0,37
FA07-18 (N=37),NS21-38 (N=99),0,62,37
FA07-18 (N=37),KA94-01 (N=277),0,240,37
FA07-18 (N=37),CA02-06 (N=319),0,282,37
FA07-18 (N=37),WEAK20-23 (N=271),0,234,37
FA07-18 (N=37),NS21-34 (N=271),0,234,37
FACLUST07-21 (N=107),WEAK20-27 (N=37),70,0,37
WEAK20-27 (N=37),NS21-38 (N=99),0,62,37
WEAK20-27 (N=37),KA94-01 (N=277),0,240,37
WEAK20-27 (N=37),CA02-06 (N=319),0,282,37
WEAK20-27 (N=37),WEAK20-23 (N=271),0,234,37
WEAK20-27 (N=37),NS21-34 (N=271),0,234,37
KA94-04 (N=107),FA07-10 (N=22),85,0,22
KA94-04 (N=107),WEAK20-30 (N=22),85,0,22
CA02-08 (N=107),FA07-10 (N=22),85,0,22
CA02-08 (N=107),WEAK20-30 (N=22),85,0,22
