,KA94-02,KA94-03,KA94-04,KA94-05,CA02-07,CA02-08,FA07-09,FA07-10,FA07-11,FA07-12,FA07-13,FA07-14,FA07-15,FA07-16,FA07-17,FA07-18,FACLUST07-19,FACLUST07-20,FACLUST07-21,WEAK20-22,WEAK20-24,WEAK20-25,WEAK20-26,WEAK20-27,WEAK20-28,WEAK20-29,WEAK20-30,WEAK20-31,WEAK20-32,NS21-33,NS21-35,NS21-36,NS21-37,NS21-38,NS21-39,KA94-01,CA02-06,WEAK20-23,NS21-34
KA94-02,17,0,0,0,17,0,0,0,6,0,0,0,9,2,0,0,0,17,0,6,0,0,9,0,0,2,0,0,0,6,0,0,11,0,0,17,17,11,11
KA94-03,0,153,0,0,153,0,38,0,0,0,115,0,0,0,0,0,153,0,0,0,0,115,0,0,38,0,0,0,0,0,0,153,0,0,0,153,153,153,153
KA94-04,0,0,107,0,0,107,0,22,0,8,0,40,0,0,0,37,0,0,107,0,8,0,0,37,0,0,22,40,0,0,8,0,0,99,0,107,107,107,107
KA94-05,0,0,0,42,42,0,0,0,0,0,0,0,0,0,42,0,0,42,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,42,0,42,0,0
CA02-07,17,153,0,42,212,0,38,0,6,0,115,0,9,2,42,0,153,59,0,6,0,115,9,0,38,2,0,0,42,6,0,153,11,0,42,170,212,164,164
CA02-08,0,0,107,0,0,107,0,22,0,8,0,40,0,0,0,37,0,0,107,0,8,0,0,37,0,0,22,40,0,0,8,0,0,99,0,107,107,107,107
FA07-09,0,38,0,0,38,0,38,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,38,0,0,0,0,0,0,38,0,0,0,38,38,38,38
FA07-10,0,0,22,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,22,22,22,22
FA07-11,6,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6,0,0
FA07-12,0,0,8,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,8,8,8
FA07-13,0,115,0,0,115,0,0,0,0,0,115,0,0,0,0,0,115,0,0,0,0,115,0,0,0,0,0,0,0,0,0,115,0,0,0,115,115,115,115
